à 	7
bouquinait	b o u k i n a i t
bouquinâmes	b o u k i n a 8 i m 3 s
bouquinant	b o u k i n a n t
bouquinas	b o u k i n 3 s
bouquinasse	b o u k i n 3 s o s e
bouquinassent	b o u k i n a s o n t
bouquinasses	b o u k i n a s e
bouquinassiez	b o u k i n a s s i e z
bouquinassions	b o u k i n a s s i o* s
bouquinât	b o u k i n o t
bouquinâtes	b o u k i n a t i m 3 s
bouquine	b o u k i n e
bouquiné	b o u k i n e
bouquinée	b o u k i n a j
bouquinées	b o u k i n e m 3 s
bouquinent	b o u k i
bouquiner	b o u k i n 3 q
bouquinera	b o u k i n e r a
bouquinerai	b o u k i n e r a i n
bouquineraient	b o u k i n e r a i n
bouquinerais	b o u k i n e r a i s
bouquinerait	b o u k i n e r a i t
bouquineras	b o u k i n e r a s
bouquinèrent	b o u k i n e r e n t
bouquinerez	b o u k i n e r a
bouquineriez	b o u k i n e r i
bouquinerions	b o u k i n e r i o* s
bouquinerons	b o u k i n e r o* s
bouquineront	b o u k i n e r o n s
bouquines	b o u k i n i
bouquinés	b o u k i n e
bouquinez	b o u k i n e z
bouquiniez	b o u k i e z
bouquinions	b o u k i n i o* s
bouquiniste	b o u k i n i S th~ E
bouquinistes	b o u k i n i S th~ m 3 s
bouquinons	b o u k o ndw$ a
bouquins	b o u k i n
bourbe	b o u r b e
bourbes	b o u r b e sy~ s
bourbeuse	b o u r k u s e
bourbeuses	b o u r k e
bourbeux	b o u r k S
bourbier	b o u r a r
bourbiers	b o u r a
bourbon	b o u r b o n
Bourbon	o u r b o n
bourbonien	b o u r p o l e n
bourbonienne	b o u r p o l n e
bourboniennes	b o u r p o l n i
bourboniens	b o u r p o l
bourbons	b o u r b o* s
bourde	b o u r d e
bourdes	b o u r b
bourdon	b o u r d o n
bourdonna	b o u r d o* n a
bourdonnai	b o u r d o* n a i
bourdonnaient	b o u r a i s
bourdonnais	b o u r d o* n a i s
bourdonnait	b o u r d o* n a i t
bourdonnâmes	b o u r d o* n a 8 i m 3 s
bourdonnant	b o u r a i s n t
bourdonnante	b o u r a i s n t e
bourdonnantes	b o u r a i s n t e
bourdonnants	b o u r a i s n c
bourdonnas	b o u r d o* n 3 s
bourdonnasse	b o u r d o* n 3 s o s e
bourdonnassent	b o u r d o* n a s o n t
bourdonnasses	b o u r d o* n a s e
bourdonnassiez	b o u r d o* n a s s i e z
bourdonnassions	b o u r d o* n a s s i o* s
bourdonnât	b o u r d o* n o t
bourdonnâtes	b o u r d o* n a t i m 3 s
bourdonne	b o u r d o* n e
bourdonné	b o u r d o* n e
bourdonnée	b o u r d o* n a j
bourdonnées	b o u r d o* n e m 3 s
bourdonnement	b o u r d o* n i m E n t
bourdonnements	b o u r d o* n i m E nt~ u
bourdonnent	b o u r d o*
bourdonner	b o u r d o* n 3 q
bourdonnera	b o u r d o* n e r a
bourdonnerai	b o u r d o* n e r a i n
bourdonneraient	b o u r d o* n e r a i n
bourdonnerais	b o u r d o* n e r a i s
bourdonnerait	b o u r d o* n e r a i t
bourdonneras	b o u r d o* a gw~ a a s
bourdonnèrent	b o u r d o* n e r e n t
bourdonnerez	b o u r d o* n e r a
bourdonneriez	b o u r d o* n e r i
bourdonnerions	b o u r d o* n e r i o* s
bourdonnerons	b o u r d o* n e r o* s
bourdonneront	b o u r d o* n e r o n s
bourdonnes	b o u r d o* n i
bourdonnés	b o u r d o* n e
bourdonnez	b o u r d o* n e z
bourdonniez	b o u r d o* n i e z
bourdonnions	b o u r d o* n i o* s
bourdonnons	b o u r d o* ndw$ a
bourdons	b o u r d o* s
bourg	b o u r
bourgade	b o u r g a d e
bourgades	b o u r g a d e
bourge	b o u r g e
bourgeois	b o u r  o i s
bourgeoise	b o u r  w a z o
bourgeoisement	b o u r  w a z o m E n t
bourgeoises	b o u r  w a z o s
bourgeoisial	b o u r  a s a l
bourgeoisiale	b o u r  a s i a l e
bourgeoisiales	b o u r  a s u l e
bourgeoisiaux	b o u r  a s u S
bourgeoisie	b o u r  a s i e
bourgeoisies	b o u r  a s e i
bourgeon	b o u r  o n
bourgeonna	b o u r  o* n a
bourgeonnai	b o u r  o* n a i
bourgeonnaient	b o u r  o
bourgeonnais	b o u r  o i s
bourgeonnait	b o u r  o* n a i t
bourgeonnâmes	b o u r  o* n a 8 i m 3 s
bourgeonnant	b o u r  o n t
bourgeonnas	b o u r  o* n 3 s
bourgeonnasse	b o u r  o* n 3 s o s e
bourgeonnassent	b o u r  o* n a s o n t
bourgeonnasses	b o u r  o* n a s e
bourgeonnassiez	b o u r  o* n a s s i e z
bourgeonnassions	b o u r  o* n a s s i o* s
bourgeonnât	b o u r  o* n o t
bourgeonnâtes	b o u r  o* n a t i m 3 s
bourgeonne	b o u r  o* n e
bourgeonné	b o u r  o* n e
bourgeonnée	b o u r  o* n a j
bourgeonnées	b o u r  o* n e m 3 s
bourgeonnement	b o u r  o* n i m E n t
bourgeonnements	b o u r  o* n i m E nt~ u
bourgeonnent	b o u r  o*
bourgeonner	b o u r  o* n 3 q
bourgeonnera	b o u r  o* n e r a
bourgeonnerai	b o u r  o* n e r a i n
bourgeonneraient	b o u r  o* n e r a i n
bourgeonnerais	b o u r  o* n e r a i s
bourgeonnerait	b o u r  o* n e r a i t
bourgeonneras	b o u r  o* a gw~ a a s
bourgeonnèrent	b o u r  o* n e r e n t
bourgeonnerez	b o u r  o* n e r a
bourgeonneriez	b o u r  o* n e r i
bourgeonnerions	b o u r  o* n e r i o* s
bourgeonnerons	b o u r  o* n e r o* s
bourgeonneront	b o u r  o* n e r o n s
bourgeonnes	b o u r  o* n i
bourgeonnés	b o u r  o* n e
bourgeonnez	b o u r  o* n e z
bourgeonniez	b o u r  o* n i e z
bourgeonnions	b o u r  o* n i o* s
bourgeonnons	b o u r  o* ndw$ a
bourgeons	b o u r  o* s
bourgmestre	b o u r g S
bourgmestres	b o u r g S u z i
bourgogne	b o u r  j
Bourgogne	o u r  j
bourgognes	b o u r g o g i E 5 m 3 s
bourgs	b o u r n u
bourguignon	b o u r g i g n o n
bourguignonne	b o u r g i g ndw$ a n e
bourguignonnes	b o u r g i g ndw$ a n i
bourguignons	b o u r g i g ndw$ a
bourlingua	b o u r l i N u a
bourlinguai	b o u r l i N u a i
bourlinguaient	b o u r l i N u a i e n t
bourlinguais	b o u r l i N u a i s
bourlinguait	b o u r l i N u a i t
bourlinguâmes	b o u r l i   m 3 s
bourlinguant	b o u r l i  i
bourlinguas	b o u r l i  a s
bourlinguasse	b o u r l i  a s s e
bourlinguassent	b o u r l i  n i o n t
bourlinguasses	b o u r l i  n i e
bourlinguassiez	b o u r l i  a s s i e z
bourlinguassions	b o u r l i  a s s i o* s
bourlinguât	b o u r l i  o t
bourlinguâtes	b o u r l i  a t i m 3 s
bourlingue	b o u r l i N g w e
bourlingué	b o u r l i  e
bourlinguée	b o u r l i N u a j
bourlinguées	b o u r l i N g e m 3 s
bourlinguent	b o u r l i  e n t
bourlinguer	b o u r l i N i a
bourlinguera	b o u r l i  e r a
bourlinguerai	b o u r l i  e r a i n
bourlingueraient	b o u r l i  e r a i n
bourlinguerais	b o u r l i  e r a i s
bourlinguerait	b o u r l i  e r a i t
bourlingueras	b o u r l i   a s
bourlinguèrent	b o u r l i  e r e n t
bourlinguerez	b o u r l i  e r a
bourlingueriez	b o u r l i  e r i
bourlinguerions	b o u r l i  e r i o* s
bourlinguerons	b o u r l i   o* s
bourlingueront	b o u r l i  e r o n s
bourlingues	b o u r l i  m 3 s
bourlingués	b o u r l i N g e
bourlingueur	b o u r l i  e u r
bourlingueurs	b o u r l i  e u r
bourlingueuse	b o u r l i  e u s e
bourlingueuses	b o u r l i  e e
bourlinguez	b o u r l i  e z
bourlinguiez	b o u r l i  i
bourlinguions	b o u r l i N gw~ i s o* s
bourlinguons	b o u r l i  o* s
bourra	b o u r a
bourrache	b o u r a C e
bourraches	b o u r a C m 3 s
bourrade	b o u r a d e
bourrades	b o u r a d e
bourrage	b o u r a g e
bourrages	b o u r a g e
bourrai	b o u r a i
bourraient	b o u r a
bourrais	b o u r a i s
bourrait	b o u r a i t
bourrâmes	b o u r  m 3 s
bourrant	b o u r a nt~
bourras	b o u r a s
bourrasque	b o u r a s kw~ i
bourrasques	b o u r a s kw~ m 3 s
bourrasse	b o u r a s s e
bourrassent	b o u r a s o n t
bourrasses	b o u r a s e
bourrassiez	b o u r a s s i e z
bourrassions	b o u r a s s i o* s
bourrât	b o u r o t
bourrâtes	b o u r a t i m 3 s
bourratif	b o u r a t i f
bourratifs	b o u r a t i f
bourrative	b o u r a t i v E
bourratives	b o u r a t i b e
bourre	b o u r
bourré	b o u r e
bourreau	b o u r o
bourrée	b o u r a j
bourrées	b o u r e m 3 s
bourrelé	b o u r " e
bourrelée	b o u r " a j
bourrelées	b o u r " e m 3 s
bourrelés	b o u r " e
bourrelet	b o u r e l e t
bourrelets	b o u r e l e c
bourrelier	b o u r e l i e r
bourreliers	b o u r e l i e r
bourrellerie	b o u r  e r i e
bourrelleries	b o u r  e r i
bourrent	b o u r
bourrer	b o u r a r
bourrera	b o u r e r a
bourrerai	b o u r e r a i n
bourreraient	b o u r e r a i n
bourrerais	b o u r e r a i s
bourrerait	b o u r e r a i t
bourreras	b o u r  a s
bourrèrent	b o u r e r e n t
bourrerez	b o u r e r a
bourreriez	b o u r  e z
bourrerions	b o u r  o* s
bourrerons	b o u r  o* s
bourreront	b o u r
bourres	b o u r m 3 s
bourrés	b o u r e
bourrez	b o u r m u
bourriche	b o u r i C e
bourriches	b o u r C m 3 s
bourrichon	b o u r C o*
bourrichons	b o u r C o* s
bourricot	b o u r i cy~ o t o
bourricots	b o u r i cy~ a 7 a
bourriez	b o u r e z
bourrin	b o u r i n
bourrins	b o u r
bourrions	b o u r o* s
bourrique	b o u r i k E
bourriques	b o u r i k e
bourrons	b o u r o* s
bourru	b o u r u
bourrus	b o u r u s
bourse	b o u r s e
Bourse	o u r s e
bourses	b o u r e
boursicota	b o u r s i k o t a
boursicotage	b o u r s i k o t a j
boursicotages	b o u r s i k o t o g e
boursicotai	b o u r s i k o t a i
boursicotaient	b o u r s i k o t 3
boursicotais	b o u r s i k o t a i s
boursicotait	b o u r s i k o t a i t
boursicotâmes	b o u r s i k o  8 i m 3 s
boursicotant	b o u r s i k o t a nt~
boursicotas	b o u r s i k o t o s
boursicotasse	b o u r s i k o t a s s e
boursicotassent	b o u r s i k o t a s o n t
boursicotasses	b o u r s i k o t a s e
boursicotassiez	b o u r s i k o t a s s i e z
boursicotassions	b o u r s i k o t a s s i o* s
boursicotât	b o u r s i k o t o t
boursicotâtes	b o u r s i k o  t e
boursicote	b o u r s i k o t e
boursicoté	b o u r s i k o a
boursicotée	b o u r s i k o t E e
boursicotées	b o u r s i k o n m 3 s
boursicotent	b o u r s i k o t e n t
boursicoter	b o u r s i k o t e r i s
boursicotera	b o u r s i k o t E r a
boursicoterai	b o u r s i k o t e r a i n
boursicoteraient	b o u r s i k o t e r a i n
boursicoterais	b o u r s i k o t E r a i s
boursicoterait	b o u r s i k o t E r a i t
boursicoteras	b o u r   o th~ E a s
boursicotèrent	b o u r s i k o t 3 7 r e n t
boursicoterez	b o u r s i k o t e r a
boursicoteriez	b o u r s i k o t E r i
boursicoterions	b o u r s i k o t e r i o* s
boursicoterons	b o u r s i k o t e r i s o* s
boursicoteront	b o u r s i k o t E r o n s
boursicotes	b o u r s i k o t e
boursicotés	b o u r s i k o n
boursicoteur	b o u r s i k o t e u r
boursicoteurs	b o u r s i k o t e u r
boursicoteuse	b o u r s i k o t e u s e
boursicoteuses	b o u r s i k o t e e
boursicotez	b o u r s i k o t e z
boursicotiez	b o u r s i k o t i e z
boursicotions	b o u r s i k o t i o* s
boursicotons	b o u r   o th~ o* s
boursier	b o u r s i e r
boursière	b o u r X e
boursières	b o u r X e r e
boursiers	b o u r s i e r
boursoufla	b o u r z o k u p l a
boursouflage	b o u r z o k u p l a g e
boursouflages	b o u r z o k u p l o g e
boursouflai	b o u r z o k u p l a i
boursouflaient	b o u r z o k u p l a
boursouflais	b o u r z o k u p l a i s
boursouflait	b o u r z o k u p l a i t
boursouflâmes	b o u r z o k u p p  m 3 s
boursouflant	b o u r z o k u p nz~ i
boursouflas	b o u r z o k u p l a
boursouflasse	b o u r z o k u p l a s s e
boursouflassent	b o u r z o k u p l a s o n t
boursouflasses	b o u r z o k u p l a s e
boursouflassiez	b o u r z o k u p l a s s i e z
boursouflassions	b o u r z o k u p l a s s i o* s
boursouflât	b o u r z o k u p l o t
boursouflâtes	b o u r z o k u p l a t i m 3 s
boursoufle	b o u r z o k u p l e
boursouflé	b o u r z o k u p l e
boursouflée	b o u r z o k u p l a j
boursouflées	b o u r z o k u p l e m 3 s
boursouflement	b o u r z o k u p l E m E n t
boursouflements	b o u r z o k u p l E m E nt~ u
boursouflent	b o u r z o k u p l e n t
boursoufler	b o u r z o k u p l e r
boursouflera	b o u r z o k u p l e r a
boursouflerai	b o u r z o k u p l e r a i n
boursoufleraient	b o u r z o k u p l e r a i n
boursouflerais	b o u r z o k u p l e r a i s
boursouflerait	b o u r z o k u p l e r a i t
boursoufleras	b o u r z o k u p l a a s
boursouflèrent	b o u r z o k u p l e r e n t
boursouflerez	b o u r z o k u p l e r a
boursoufleriez	b o u r z o k u p l e r i
boursouflerions	b o u r z o k u p l e r i o* s
boursouflerons	b o u r z o k u p l e r o* s
boursoufleront	b o u r z o k u p l e r o n s
boursoufles	b o u r z o k u p l e
boursouflés	b o u r z o k u p l e
boursouflez	b o u r z o k u p l e z
boursoufliez	b o u r z o k u p l i e z
boursouflions	b o u r z o k u p l i o* s
boursouflons	b o u r z o k u p l o* s
boursouflure	b o u r z o k u p l u r e
boursouflures	b o u r z o k u p l u r e
bouscueil	b o u s k u e i l
bouscula	b o u s k u l a
bousculade	b o u s k u l a d e
bousculades	b o u s k u l a d e
bousculai	b o u s k u l a i
bousculaient	b o u s k u l a
bousculais	b o u s k u l a i s
bousculait	b o u s k u l a i t
bousculâmes	b o u s k u l a 8 i m 3 s
bousculant	b o u s k u l a n t i
bousculas	b o u s k u l a
bousculasse	b o u s k u l a s s e
bousculassent	b o u s k u l a s o n t
bousculasses	b o u s k u l a s e
bousculassiez	b o u s k u l a s s i e z
bousculassions	b o u s k u l a s s i o* s
bousculât	b o u s k u l o t
bousculâtes	b o u s k u l a t i m 3 s
bouscule	b o u s k u l e
bousculé	b o u s k u l e
bousculée	b o u s k u l a j
bousculées	b o u s k u l e m 3 s
bousculent	b o u s k u l e n t
bousculer	b o u s k u l e r
bousculera	b o u s k u l e r a
bousculerai	b o u s k u l e r a i n
bousculeraient	b o u s k u l e r a i n
bousculerais	b o u s k u l e r a i s
bousculerait	b o u s k u l e r a i t
bousculeras	b o u s k u l a a s
bousculèrent	b o u s k u l e r e n t
bousculerez	b o u s k u l e r a
bousculeriez	b o u s k u l e r i
bousculerions	b o u s k u l e r i o* s
bousculerons	b o u s k u l e r o* s
bousculeront	b o u s k u l e r o n s
bouscules	b o u s k u l e
bousculés	b o u s k u l e
bousculez	b o u s k u l e z
bousculiez	b o u s k u l i e z
bousculions	b o u s k u l i o* s
bousculons	b o u s k u l o* s
bouse	b o u s e
bouses	b o u e
bouseuse	b o u s e u s e
bouseux	b o u s e u S
bousier	b o u s i e r
bousiers	b o u s e i r
bousilla	b o u s i l l a
bousillage	b o u s i l l a g e
bousillages	b o u s i l l o g e
bousillai	b o u s i l l a i
bousillaient	b o u s i l l a
bousillais	b o u s i l l a i s
bousillait	b o u s i l l a i t
bousillâmes	b o u s i l l a 8 i m 3 s
bousillant	b o u s i l l a n t i
bousillas	b o u s i l l a
bousillasse	b o u s i l l a  s e
bousillassent	b o u s i l l a s o n t
bousillasses	b o u s i l l a s e
bousillassiez	b o u s i l l a s s i e z
bousillassions	b o u s i l l a s s i o* s
bousillât	b o u s i l l o t
bousillâtes	b o u s i l l a t i m 3 s
bousille	b o u s i l l e
bousillé	b o u s i l l e
bousillée	b o u s i l l a j
bousillées	b o u s i l l e m 3 s
bousillent	b o u s i l l e n t
bousiller	b o u s i l l e r
bousillera	b o u s i l l e r a
bousillerai	b o u s i l l e r a i n
bousilleraient	b o u s i l l e r a i n
bousillerais	b o u s i l l e r a i s
bousillerait	b o u s i l l e r a i t
bousilleras	b o u s i l l a a s
bousillèrent	b o u s i l l e r e n t
bousillerez	b o u s i l l e r a
bousilleriez	b o u s i l l e r i
bousillerions	b o u s i l l e r i o* s
bousillerons	b o u s i l l e r o* s
bousilleront	b o u s i l l e r o n s
bousilles	b o u s i l l e
bousillés	b o u s i l l e
bousillez	b o u s i l l e z
bousilliez	b o u s i l l i e z
bousillions	b o u s i l l i o* s
bousillons	b o u s i l l o* s
boussole	b o u s s o l e
boussoles	b o u s s o l e
boustifaille	b o u s t i f E i l l e
boustifailles	b o u s t i f E i l l e
bout	b o u t
bout à bout	b o u t a b o u t
boutade	b o u t a d e
boutades	b o u t a d e
boute-en-train	b o u 7 t r a i n
boutefas	b o u t e f a s
bouteille	b o u t e i l l e
bouteilles	b o u t e i l l e
boutiquaire	b o u t i k a i r
boutique	b o u t i k E
boutiques	b o u t i k e
boutiquier	b o u t i k i e r
boutiquière	b o u t i k i e
boutiquières	b o u t i k i e r e
boutiquiers	b o u t i k i e r
boutis	b o u t i s
boutoir	b o u t o i r
boutoirs	b o u t o i r
bouton	b o u t o n
bouton-d'or	b o u t o m b a j o r
bouton-pression	b o u t o n i n th~ e r e s s i o n
boutonna	b o u t o n n a
boutonnage	b o u t o n n a g e
boutonnages	b o u t o n n a g e
boutonnai	b o u t o n n a i
boutonnaient	b o u t o
boutonnais	b o u t o i s
boutonnait	b o u t o n n a i t
boutonnâmes	b o u t o n n a 8 i m 3 s
boutonnant	b o u t o n t
boutonnas	b o u t o
boutonnasse	b o u t o n n 3 s o s e
boutonnassent	b o u t o s o n t
boutonnasses	b o u t o s e
boutonnassiez	b o u t o s s i e z
boutonnassions	b o u t o s s i o* s
boutonnât	b o u t o n n o t
boutonnâtes	b o u t o n n a t i m 3 s
boutonne	b o u t o n n e
boutonné	b o u t o n n e
boutonnée	b o u t o n a j
boutonnées	b o u t o n n e m 3 s
boutonnent	b o u t o n
boutonner	b o u t o n n 3 q
boutonnera	b o u t o n n e r a
boutonnerai	b o u t o n n e r a i n
boutonneraient	b o u t o n n e r a i n
boutonnerais	b o u t o n n e r a i s
boutonnerait	b o u t o n n e r a i t
boutonneras	b o u t o n a a s
boutonnèrent	b o u t o n e r e n t
boutonnerez	b o u t o n n e r a
boutonneriez	b o u t o n n e r i
boutonnerions	b o u t o n n e r i o* s
boutonnerons	b o u t o n n e r o* s
boutonneront	b o u t o n n e r o n s
boutonnes	b o u t o n i
boutonnés	b o u t o n n e
boutonneuse	b o u t o n S u s e
boutonneuses	b o u t o n S e
boutonneux	b o u t o n S S
boutonnez	b o u t o n n e z
boutonnier	b o u t o n n i e r
boutonnière	b o u t o n n i e
boutonnières	b o u t o n n i e r e
boutonniers	b o u t o n n i e r
boutonniez	b o u t o n n i e z
boutonnions	b o u t o n n i o* s
boutonnons	b o u t o n ndw$ a
boutons	b o u t o* s
bouts	b o u c
boutura	b o u t u r a
bouturage	b o u t u r a g e
bouturages	b o u t u r a g e
bouturai	b o u t u r a i
bouturaient	b o u t u r a
bouturais	b o u t u r a i s
bouturait	b o u t u r a i t
bouturâmes	b o u t u r  m 3 s
bouturant	b o u t u r a nt~
bouturas	b o u t u r a s
bouturasse	b o u t u r a s s e
bouturassent	b o u t u r a s o n t
bouturasses	b o u t u r a s e
bouturassiez	b o u t u r a s s i e z
bouturassions	b o u t u r a s s i o* s
bouturât	b o u t u r o t
bouturâtes	b o u t u r a t i m 3 s
bouture	b o u t u r e
bouturé	b o u t u r e
bouturée	b o u t u r a j
bouturées	b o u t u r e m 3 s
bouturent	b o u t u r e n t
bouturer	b o u t u r e r
bouturera	b o u t u r E r a
bouturerai	b o u t u r e r a i n
boutureraient	b o u t u r e r a i n
bouturerais	b o u t u r e r a i s
bouturerait	b o u t u r e r a i t
boutureras	b o u t u r E a s
bouturèrent	b o u t u r e r e n t
bouturerez	b o u t u r e r a
boutureriez	b o u t u r e r i
bouturerions	b o u t u r e r i o* s
bouturerons	b o u t u r e r o* s
boutureront	b o u t u r e r o n s
boutures	b o u t u r e
bouturés	b o u t u r e
bouturez	b o u t u r e z
bouturiez	b o u t u r i
bouturions	b o u t u r i o* s
bouturons	b o u t u r o* s
Bouvard et Pécuchet	o u b a r d E n kw~ 5
bouvier	b o u v i e r
